1,"{'Hab': ['onlyDuck', 'onlyBall', 'onlyShoe', 'justBall', 'justDuck', 'justShoe', 'reallyShoe', 'reallyDuck', 'reallyBall', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}"
2,"{'Hab': ['indeedDuck', 'indeedBall', 'indeedShoe', 'reallyBall', 'reallyDuck', 'reallyShoe', 'onlyBall', 'onlyDuck', 'onlyShoe', 'justShoe', 'justDuck', 'justBall'], 'test': ['notShoe', 'notBall', 'notDuck']}"
3,"{'Hab': ['reallyDuck', 'reallyShoe', 'reallyBall', 'onlyDuck', 'onlyShoe', 'onlyBall', 'justDuck', 'justBall', 'justShoe', 'indeedBall', 'indeedDuck', 'indeedShoe'], 'test': ['notBall', 'notShoe', 'notDuck']}"
4,"{'Hab': ['onlyBall', 'onlyDuck', 'onlyShoe', 'indeedShoe', 'indeedBall', 'indeedDuck', 'justShoe', 'justBall', 'justDuck', 'reallyBall', 'reallyShoe', 'reallyDuck'], 'test': ['nowShoe', 'nowBall', 'nowDuck']}"
5,"{'Hab': ['justDuck', 'justBall', 'justShoe', 'reallyDuck', 'reallyShoe', 'reallyBall', 'indeedBall', 'indeedShoe', 'indeedDuck', 'onlyShoe', 'onlyDuck', 'onlyBall'], 'test': ['notBall', 'notDuck', 'notShoe']}"
6,"{'Hab': ['justBall', 'justDuck', 'justShoe', 'reallyDuck', 'reallyBall', 'reallyShoe', 'indeedShoe', 'indeedBall', 'indeedDuck', 'onlyBall', 'onlyDuck', 'onlyShoe'], 'test': ['nowDuck', 'nowBall', 'nowShoe']}"
7,"{'Hab': ['justDuck', 'justBall', 'justShoe', 'indeedDuck', 'indeedShoe', 'indeedBall', 'reallyShoe', 'reallyBall', 'reallyDuck', 'onlyBall', 'onlyDuck', 'onlyShoe'], 'test': ['nowBall', 'nowDuck', 'nowShoe']}"
8,"{'Hab': ['indeedShoe', 'indeedBall', 'indeedDuck', 'justBall', 'justDuck', 'justShoe', 'reallyBall', 'reallyDuck', 'reallyShoe', 'onlyBall', 'onlyDuck', 'onlyShoe'], 'test': ['notShoe', 'notBall', 'notDuck']}"
9,"{'Hab': ['reallyDuck', 'reallyBall', 'reallyShoe', 'justBall', 'justDuck', 'justShoe', 'onlyBall', 'onlyDuck', 'onlyShoe', 'indeedShoe', 'indeedDuck', 'indeedBall'], 'test': ['notBall', 'notDuck', 'notShoe']}"
10,"{'Hab': ['onlyDuck', 'onlyShoe', 'onlyBall', 'reallyShoe', 'reallyDuck', 'reallyBall', 'justShoe', 'justBall', 'justDuck', 'indeedShoe', 'indeedBall', 'indeedDuck'], 'test': ['nowShoe', 'nowBall', 'nowDuck']}"
